Year,ND_SNOW_Means,SD_SNOW_Means,MN_SNOW_Means,IA_SNOW_Means,NE_SNOW_Means
1970,10.507026071586392,8.58369863013699,8.467935058346018,5.294841416759226,8.706127023661269
1971,9.8389748121962,8.152815829528159,8.78856756299679,5.16418610391213,8.41728518057285
1972,10.135439681838267,6.399817351598175,8.524657534246579,5.961582130075282,7.433760896637607
1973,8.132589482987187,7.572328767123286,5.665922543548114,6.62255954584722,7.211755915317561
1974,10.08550596553248,6.639056316590565,6.815305259597499,5.614093545600394,5.92620174346202
1975,11.370481661511269,11.87939117199391,9.935227464907829,6.746686412439837,7.464134495641344
1976,8.743923994697306,7.661232876712332,9.598224251648906,4.064901888189562,4.524732254047319
1977,8.46836058329651,8.457914764079145,9.446592254354812,6.192743428359866,6.049277708592777
1978,9.28075563411401,9.703287671232875,9.312802300016907,8.52666913488831,7.571021170610213
1979,10.69779054352629,8.118584474885846,10.383274141721625,8.60447982228804,6.032054794520547
1980,8.923596995139194,7.4189497716894985,9.572315237612042,8.233259286683946,6.710560398505604
1981,5.583451171011931,6.4565905631659035,7.672907153729068,5.950425768233987,3.354769613947697
1982,10.07328767123288,10.345525114155251,8.546254016573654,7.795100580032086,6.708729763387299
1983,6.941847105612021,10.246042617960425,9.45330627431084,9.003171664815502,8.309763387297632
1984,10.135660627485638,9.810715372907152,6.730576695416877,7.551166234727876,7.753399750933993
1985,8.510008837825895,9.81599695585997,9.365212244207676,7.489398988029125,7.1291905354919045
1986,7.427551922227133,6.858995433789955,6.866057838660575,4.539306429717389,5.505093399750938
1987,7.234224480777728,5.144398782343985,5.219972940977506,3.7363198815253615,6.282465753424661
1988,7.143747238179407,6.539695585996953,9.339421613394215,7.693372824879671,8.041618929016192
1989,6.6971498011489174,7.423972602739729,8.440706916962624,4.787992101690731,5.13209215442092
1990,4.330866106937693,4.706681887366818,5.543751056993066,3.602813772676786,4.030846824408468
1991,5.8948961555457355,4.670380517503805,7.662337223067814,4.501172405281993,4.467509339975093
1992,6.6594564737074675,5.322557077625569,7.701454422458986,4.077354066395162,4.309900373599004
1993,7.244962439239947,9.188066971080667,8.161593099949265,6.090781192151057,7.5637484433374835
1994,9.369752540874943,8.64925418569254,7.619144258413667,5.58960878686906,6.536164383561643
1995,8.168692001767566,8.59902587519026,8.610434635548792,4.38106873997285,5.585529265255293
1996,9.960185594343791,10.456788432267881,10.65433789954338,5.758213007528073,6.442739726027394
1997,8.131064958020328,7.338143074581431,9.131050228310505,6.926891274836481,6.155305105853051
1998,6.2693548387096785,5.851263318112633,9.327211229494338,4.23655436258176,4.642341220423412
1999,6.197459125055238,4.6138203957382045,10.68871976999831,4.6790941626558045,3.9572851805728524
2000,8.844763588157313,6.434657534246575,11.745036360561478,6.330902135011723,5.2333623910336255
2001,6.658638974812196,6.197914764079149,9.128631828175205,4.369011477230656,5.9859402241594015
2002,10.170768890852848,6.5410958904109595,9.581329274479957,4.023559175613969,5.562951432129514
2003,10.877308882015024,6.629619482496193,10.103263994588195,4.847426878933728,5.798991282689915
2004,9.142399469730442,5.579863013698629,9.7458312193472,3.858941132913736,6.4205603985056054
2005,8.372470172337605,6.487047184170473,10.79118890580078,4.640910773787487,6.449277708592777
2006,6.887494476358817,5.324094368340947,7.247640791476407,2.7576823398741217,9.094084682440846
2007,7.37945205479452,6.690487062404872,7.02607813292745,6.2471060101197065,5.624047322540476
2008,9.416106937693328,9.980456621004569,9.397581599864706,7.146896211279771,7.887173100871728
2009,9.361643835616439,9.17302891933029,9.45007610350076,5.788201900530668,8.13648816936488
2010,10.792797171895714,7.553485540334855,8.446727549467271,5.76969023818339,4.996151930261518
