Year,TX_SNOW_Means,OK_SNOW_Means,KS_SNOW_Means
1970,0.6845235920852358,2.9570115356885367,3.281713415959991
1971,1.279366818873668,2.4912941600576786,3.4896499238964993
1972,1.36751902587519,5.918330930064887,4.299260708849748
1973,4.240347031963473,9.603262436914205,5.791291585127203
1974,1.3280487062404873,4.750612833453498,3.8092846270928478
1975,2.0648036529680365,5.406362653208364,5.1634594477060265
1976,1.2039999999999993,1.6729091564527752,1.9052293976951509
1977,1.7861735159817362,1.9811824080749816,2.53677973472494
1978,3.6723226788432273,5.714365537130498,5.1700260926288335
1979,3.046386605783867,7.1561463590483045,5.049554250924113
1980,2.884103500761034,6.248648161499642,6.808382257012394
1981,0.9701552511415527,7.620385724585435,4.37640791476408
1982,2.428401826484017,5.572999279019467,5.854653185475102
1983,2.660566210045661,4.506578947368422,7.169156338334421
1984,2.413406392694064,4.3667087238644555,6.271167645140246
1985,6.0468310502283105,4.408651766402307,6.9353555120678365
1986,3.0983318112633165,3.2960526315789487,3.93228962818004
1987,4.120328767123287,4.02586517664023,6.489095455533808
1988,2.9930654490106554,2.0417627974044708,3.912622309197652
1989,1.4004992389649917,1.6546503244412396,3.24335725157643
1990,1.1543318112633176,1.429019466474405,2.673265927375517
1991,0.7674885844748858,1.025432588320115,2.8854424874972824
1992,1.5068736681887362,2.0539653929343897,2.7772450532724515
1993,1.7127305936073054,1.7890951694304253,5.143041965644703
1994,1.9003957382039574,2.2561824080749813,3.3799956512285294
1995,1.5024170471841707,2.556633020908436,4.714394433572516
1996,1.4185996955859963,2.385382119682768,3.406838443139812
1997,1.7274581430745808,3.7936193222782975,5.010948032180909
1998,1.1848280060882799,1.6973503965392933,2.4828875842574467
1999,1.3492724505327243,1.5138248017303533,2.024494455316374
2000,1.3052115677321154,3.0143294881038205,3.0277342900630573
2001,1.6641887366818868,2.7495493871665455,3.5830615351163293
2002,1.8891933028919319,2.9077865897620767,2.568221352467929
2003,2.7089436834094354,2.3289653929343896,3.704566210045663
2004,2.4306301369863013,1.7546322999279023,4.266036094803219
2005,2.596024353120243,2.165699351117519,5.208382257012395
2006,3.0188371385083697,3.011193222782984,2.397771254620571
2007,3.6744657534246556,4.45531723143475,5.0092628832354835
2008,2.4218630136986308,4.941095890410958,3.1523809523809505
2009,3.628523592085235,5.06377072819034,5.856784083496412
2010,2.7360547945205465,3.215158615717376,3.2250271798217
